category,output_class,precision,recall,f1-score,support
aid_centers,0,0.21,0.0,0.1,5139.0
aid_centers,1,0.0,0.0,0.0,67.0
aid_centers,macro avg,0.21,0.0,0.1,5206.0
aid_centers,weighted avg,0.41,0.21,0.31,5206.0
aid_related,0,-7.08,6.76,-0.79,3085.0
aid_related,1,7.11,-16.89,-6.78,2121.0
aid_related,macro avg,-0.23,-4.05,-3.6,5206.0
aid_related,weighted avg,-1.43,-2.44,-3.29,5206.0
buildings,0,-0.73,0.09,-0.33,4957.0
buildings,1,11.56,-15.39,-12.33,249.0
buildings,macro avg,4.72,-1.67,-2.53,5206.0
buildings,weighted avg,-0.33,-0.64,-1.03,5206.0
child_alone,0,0.0,0.0,0.0,5206.0
child_alone,macro avg,0.0,0.0,0.0,5206.0
child_alone,weighted avg,0.0,0.0,0.0,5206.0
clothing,0,-0.06,0.05,-0.0,5122.0
clothing,1,-4.76,-72.87,-69.36,84.0
clothing,macro avg,-2.09,-9.07,-13.51,5206.0
clothing,weighted avg,-0.09,-0.01,-0.17,5206.0
cold,0,0.32,0.04,0.18,5079.0
cold,1,11.11,-28.65,-26.74,127.0
cold,macro avg,4.83,-1.46,-2.34,5206.0
cold,weighted avg,0.59,0.36,0.46,5206.0
death,0,-0.32,0.03,-0.15,4961.0
death,1,-1.11,-24.45,-21.04,245.0
death,macro avg,-0.69,-3.92,-5.21,5206.0
death,weighted avg,-0.37,-0.3,-0.56,5206.0
direct_report,0,-1.16,1.11,-0.1,4196.0
direct_report,1,8.95,-9.82,-4.32,1010.0
direct_report,macro avg,3.69,-2.08,-1.66,5206.0
direct_report,weighted avg,0.69,-0.27,-0.88,5206.0
earthquake,0,-0.85,-0.13,-0.5,4686.0
earthquake,1,-3.6,-12.51,-8.59,520.0
earthquake,macro avg,-2.18,-5.61,-4.23,5206.0
earthquake,weighted avg,-1.05,-0.95,-1.07,5206.0
electricity,0,-0.07,0.02,-0.02,5096.0
electricity,1,20.0,-87.78,-87.18,110.0
electricity,macro avg,9.16,-3.8,-7.01,5206.0
electricity,weighted avg,0.3,-0.05,-0.17,5206.0
fire,0,-0.26,-0.01,-0.13,5159.0
fire,1,-100.0,-100.0,-100.0,47.0
fire,macro avg,-50.34,-4.09,-7.7,5206.0
fire,weighted avg,-1.38,-0.27,-0.42,5206.0
floods,0,-0.56,0.17,-0.21,4774.0
floods,1,2.8,-15.63,-10.52,432.0
floods,macro avg,1.07,-4.49,-4.01,5206.0
floods,weighted avg,-0.3,-0.42,-0.73,5206.0
food,0,-0.29,0.01,-0.14,4616.0
food,1,-0.71,-4.37,-2.87,590.0
food,macro avg,-0.48,-1.65,-1.29,5206.0
food,weighted avg,-0.32,-0.28,-0.35,5206.0
hospitals,0,0.07,0.0,0.04,5147.0
hospitals,1,0.0,0.0,0.0,59.0
hospitals,macro avg,0.07,0.0,0.04,5206.0
hospitals,weighted avg,0.15,0.07,0.11,5206.0
infrastructure_related,0,0.14,-0.0,0.07,4861.0
infrastructure_related,1,14.29,23.66,23.54,345.0
infrastructure_related,macro avg,3.13,0.07,0.21,5206.0
infrastructure_related,weighted avg,0.5,0.14,0.22,5206.0
medical_help,0,-0.26,0.2,-0.04,4787.0
medical_help,1,15.35,-29.55,-26.73,419.0
medical_help,macro avg,5.94,-1.67,-3.02,5206.0
medical_help,weighted avg,0.56,-0.09,-0.44,5206.0
medical_products,0,-0.69,0.18,-0.27,4958.0
medical_products,1,15.0,-56.89,-52.59,248.0
medical_products,macro avg,6.01,-5.99,-9.41,5206.0
medical_products,weighted avg,-0.18,-0.53,-1.16,5206.0
military,0,-0.28,0.02,-0.13,5035.0
military,1,-19.05,-74.64,-72.96,171.0
military,macro avg,-8.9,-5.63,-9.7,5206.0
military,weighted avg,-0.83,-0.26,-0.58,5206.0
missing_people,0,0.04,0.0,0.02,5145.0
missing_people,1,1000000000.0,30000000.0,58252427.18,61.0
missing_people,macro avg,101.23,3.0,5.88,5206.0
missing_people,weighted avg,1.24,0.04,0.1,5206.0
money,0,-0.23,0.04,-0.1,5088.0
money,1,12.5,-36.79,-34.33,118.0
money,macro avg,5.2,-2.3,-3.91,5206.0
money,weighted avg,-0.04,-0.2,-0.37,5206.0
offer,0,-0.07,0.0,-0.03,5187.0
offer,1,0.0,0.0,0.0,19.0
offer,macro avg,-0.07,0.0,-0.03,5206.0
offer,weighted avg,-0.13,-0.07,-0.1,5206.0
other_aid,0,-0.9,0.21,-0.38,4558.0
other_aid,1,9.52,-31.73,-29.98,648.0
other_aid,macro avg,2.67,-0.79,-2.18,5206.0
other_aid,weighted avg,-0.5,-0.72,-1.41,5206.0
other_infrastructure,0,-0.09,-0.0,-0.05,4979.0
other_infrastructure,1,-28.57,-40.42,-40.21,227.0
other_infrastructure,macro avg,-8.49,-0.35,-0.74,5206.0
other_infrastructure,weighted avg,-0.68,-0.09,-0.16,5206.0
other_weather,0,0.33,0.17,0.25,4922.0
other_weather,1,20.17,-48.23,-45.63,284.0
other_weather,macro avg,7.52,-2.11,-3.65,5206.0
other_weather,weighted avg,1.1,0.48,0.45,5206.0
refugees,0,0.11,0.05,0.08,5020.0
refugees,1,-14.29,-63.48,-62.16,186.0
refugees,macro avg,-5.31,-2.25,-4.1,5206.0
refugees,weighted avg,-0.12,0.15,0.1,5206.0
related,0,7.68,-35.69,-24.75,1229.0
related,1,-3.29,2.87,-0.5,3977.0
related,macro avg,1.67,-8.37,-9.22,5206.0
related,weighted avg,-1.08,-1.64,-4.2,5206.0
request,0,-0.68,0.39,-0.17,4306.0
request,1,1.7,-8.55,-4.86,900.0
request,macro avg,0.48,-2.77,-2.1,5206.0
request,weighted avg,-0.28,-0.39,-0.68,5206.0
search_and_rescue,0,-0.27,0.06,-0.11,5054.0
search_and_rescue,1,0.0,-52.02,-49.22,152.0
search_and_rescue,macro avg,-0.16,-3.76,-6.26,5206.0
search_and_rescue,weighted avg,-0.31,-0.22,-0.47,5206.0
security,0,-0.25,-0.02,-0.14,5117.0
security,1,-66.67,-46.71,-47.06,89.0
security,macro avg,-33.74,-0.54,-1.16,5206.0
security,weighted avg,-1.56,-0.27,-0.39,5206.0
shelter,0,-0.87,0.33,-0.29,4719.0
shelter,1,3.4,-29.39,-21.55,487.0
shelter,macro avg,1.16,-8.09,-7.89,5206.0
shelter,weighted avg,-0.49,-0.62,-1.28,5206.0
shops,0,-0.0,0.0,-0.0,5182.0
shops,1,0.0,0.0,0.0,24.0
shops,macro avg,-0.0,0.0,-0.0,5206.0
shops,weighted avg,-0.01,-0.0,-0.01,5206.0
storm,0,-1.23,-0.01,-0.64,4720.0
storm,1,-3.06,-19.39,-14.13,486.0
storm,macro avg,-2.09,-6.34,-5.85,5206.0
storm,weighted avg,-1.44,-1.23,-1.67,5206.0
tools,0,0.12,0.0,0.06,5170.0
tools,1,0.0,0.0,0.0,36.0
tools,macro avg,0.12,0.0,0.06,5206.0
tools,weighted avg,0.24,0.12,0.18,5206.0
transport,0,-0.33,-0.06,-0.2,4972.0
transport,1,-14.94,-25.37,-24.41,234.0
transport,macro avg,-7.36,-2.42,-4.03,5206.0
transport,weighted avg,-0.99,-0.4,-0.61,5206.0
water,0,-0.4,0.11,-0.15,4856.0
water,1,1.33,-17.39,-12.11,350.0
water,macro avg,0.43,-5.18,-4.61,5206.0
water,weighted avg,-0.29,-0.32,-0.57,5206.0
weather_related,0,-2.55,0.69,-1.02,3721.0
weather_related,1,0.45,-11.86,-6.85,1485.0
weather_related,macro avg,-1.06,-4.51,-3.67,5206.0
weather_related,weighted avg,-1.71,-1.94,-2.4,5206.0
