category,output_class,precision,recall,f1-score,support
aid_centers,0,0.0,0.0,0.0,8497.0
aid_centers,1,0.0,0.0,0.0,93.0
aid_centers,macro avg,0.0,0.0,0.0,8590.0
aid_centers,weighted avg,0.0,0.0,0.0,8590.0
aid_related,0,-4.63,6.33,0.35,4975.0
aid_related,1,5.99,-14.05,-5.6,3615.0
aid_related,macro avg,0.6,-2.8,-2.44,8590.0
aid_related,weighted avg,-0.24,-1.23,-1.98,8590.0
buildings,0,-0.17,0.05,-0.06,8121.0
buildings,1,1.74,-22.73,-19.95,469.0
buildings,macro avg,0.72,-2.76,-4.0,8590.0
buildings,weighted avg,-0.08,-0.13,-0.34,8590.0
child_alone,0,0.0,0.0,0.0,8590.0
child_alone,macro avg,0.0,0.0,0.0,8590.0
child_alone,weighted avg,0.0,0.0,0.0,8590.0
clothing,0,-0.12,0.06,-0.03,8461.0
clothing,1,4.76,-66.67,-62.99,129.0
clothing,macro avg,1.88,-6.9,-10.53,8590.0
clothing,weighted avg,-0.06,-0.06,-0.22,8590.0
cold,0,-0.08,-0.02,-0.05,8412.0
cold,1,-22.22,-50.0,-48.66,178.0
cold,macro avg,-11.26,-3.67,-6.29,8590.0
cold,weighted avg,-0.55,-0.11,-0.2,8590.0
death,0,0.15,0.01,0.08,8176.0
death,1,6.08,27.66,24.5,414.0
death,macro avg,2.85,2.83,4.21,8590.0
death,weighted avg,0.39,0.17,0.33,8590.0
direct_report,0,0.1,0.97,0.5,6877.0
direct_report,1,9.06,-0.48,2.31,1713.0
direct_report,macro avg,4.42,0.57,1.14,8590.0
direct_report,weighted avg,1.79,0.84,0.72,8590.0
earthquake,0,-0.62,-0.14,-0.38,7782.0
earthquake,1,-2.61,-8.1,-5.68,808.0
earthquake,macro avg,-1.57,-3.57,-2.79,8590.0
earthquake,weighted avg,-0.79,-0.72,-0.8,8590.0
electricity,0,0.0,0.01,0.01,8410.0
electricity,1,100.0,0.0,0.55,180.0
electricity,macro avg,33.8,0.01,0.01,8590.0
electricity,weighted avg,1.08,0.01,0.01,8590.0
