category,output_class,precision,recall,f1-score,support
related,0,0.7198142414860681,0.3799019607843137,0.49732620320855614,1224.0
related,1,0.8335526315789473,0.9545454545454546,0.8899555139311637,3982.0
related,macro avg,0.7766834365325077,0.6672237076648841,0.6936408585698599,5206.0
related,weighted avg,0.8068112198475443,0.8194391087207069,0.7976431289283838,5206.0
request,0,0.9104381443298969,0.9794362292051756,0.9436776491540516,4328.0
request,1,0.8381818181818181,0.5250569476082004,0.6456582633053222,878.0
request,macro avg,0.8743099812558575,0.752246588406688,0.7946679562296869,5206.0
request,weighted avg,0.8982520025016192,0.9028044563964657,0.8934162160431826,5206.0
offer,0,0.9944295044179793,1.0,0.9972069729365308,5177.0
offer,1,0.0,0.0,0.0,29.0
offer,macro avg,0.49721475220898964,0.5,0.4986034864682654,5206.0
offer,weighted avg,0.9888900392569878,0.9944295044179793,0.9916520358994276,5206.0
aid_related,0,0.800570703868104,0.8316864295125165,0.815831987075929,3036.0
aid_related,1,0.7509746588693957,0.7101382488479263,0.7299857887257224,2170.0
aid_related,macro avg,0.7757726813687499,0.7709123391802214,0.7729088879008257,5206.0
aid_related,weighted avg,0.7798977461948046,0.781021897810219,0.7800489962153935,5206.0
medical_help,0,0.9237041351193943,0.9966485127775451,0.9587909319899245,4774.0
medical_help,1,0.7090909090909091,0.09027777777777778,0.1601642710472279,432.0
medical_help,macro avg,0.8163975221051517,0.5434631452776614,0.5594776015185762,5206.0
medical_help,weighted avg,0.9058952773313986,0.9214368036880523,0.892519952826028,5206.0
medical_products,0,0.9515350453755551,0.9989864180012163,0.9746835443037974,4933.0
medical_products,1,0.8148148148148148,0.08058608058608059,0.14666666666666667,273.0
medical_products,macro avg,0.883174930095185,0.5397862492936485,0.560675105485232,5206.0
medical_products,weighted avg,0.9443655058167609,0.9508259700345755,0.9312627591338134,5206.0
search_and_rescue,0,0.9747979992304733,0.999802683504341,0.9871420222092344,5068.0
search_and_rescue,1,0.875,0.050724637681159424,0.0958904109589041,138.0
search_and_rescue,macro avg,0.9248989996152366,0.5252636605927502,0.5415162165840692,5206.0
search_and_rescue,weighted avg,0.9721525662889049,0.974644640799078,0.9635168354338702,5206.0
security,0,0.9817483189241114,0.9998043435726863,0.9906940674680108,5111.0
security,1,0.0,0.0,0.0,95.0
security,macro avg,0.4908741594620557,0.49990217178634316,0.4953470337340054,5206.0
security,weighted avg,0.9638332036152772,0.9815597387629658,0.9726157085726092,5206.0
military,0,0.9720831728917982,0.999208391054819,0.985459158778179,5053.0
military,1,0.6666666666666666,0.05228758169934641,0.09696969696969697,153.0
military,macro avg,0.8193749197792324,0.5257479863770826,0.541214427873938,5206.0
military,weighted avg,0.9631072363853739,0.9713791778716865,0.9593471941879566,5206.0
child_alone,0,1.0,1.0,1.0,5206.0
child_alone,macro avg,1.0,1.0,1.0,5206.0
child_alone,weighted avg,1.0,1.0,1.0,5206.0
water,0,0.9581120943952802,0.9979516591560835,0.9776261663489515,4882.0
water,1,0.9173553719008265,0.3425925925925926,0.49887640449438203,324.0
water,macro avg,0.9377337331480533,0.670272125874338,0.7382512854216667,5206.0
