critical_reduction,weighted_f1,weighted_precision,weighted_recall,macro_f1,macro_precision,macro_recall,safety_recall,violations_before,violations_after,violations_per_1k_before,violations_per_1k_after,macro_f1_change,macro_f1_decline_pct
0.0,0.8902083366991447,0.8965141164291539,0.9074407981728573,0.7672745263224316,0.8542683163445628,0.7611530696243188,0.914678110697324,9166,0,1760.6607760276604,0.0,-0.011125473677568332,-1.4292746245591383
0.02,0.8847089452163016,0.8883944755479005,0.9085226589734343,0.7577984549225704,0.8445560870053367,0.7625897381062987,0.922760239308583,9166,0,1760.6607760276604,0.0,-0.020601545077429617,-2.646652759176467
0.03,0.8824148882334476,0.8845111792616502,0.9091236927515326,0.7555723099033937,0.8408598619695048,0.7634636862203589,0.9279270876671403,9166,0,1760.6607760276604,0.0,-0.022827690096606235,-2.932642612616423
0.04,0.8797803239218768,0.8802692710896162,0.9096646231518212,0.7528837140697063,0.8368144940252347,0.7640350962086803,0.9310481862938568,9166,0,1760.6607760276604,0.0,-0.025516285930293647,-3.2780428995752375
0.05,0.8767335019838608,0.8759030666616189,0.9099651400408703,0.7494291505909928,0.8323971893878835,0.7644108998578321,0.9331493275371612,9166,0,1760.6607760276604,0.0,-0.028970849409007182,-3.7218460186288778
0.06,0.8726455982881548,0.8701272578452321,0.9102656569299195,0.7450033948751539,0.8269530004230042,0.7646573932625145,0.934397766987848,9166,0,1760.6607760276604,0.0,-0.0333966051248461,-4.2904168968199
0.07,0.8679945094872036,0.8638115657840374,0.9106863805745883,0.7403168287346341,0.8216946805271222,0.7648159329347228,0.9348879630662793,9166,0,1760.6607760276604,0.0,-0.03808317126536587,-4.892493739127167
0.08,0.8622954126798422,0.85629880484392,0.9115278278639259,0.7352253868200168,0.8161752589843261,0.7657085429548313,0.9397057409063091,9166,0,1760.6607760276604,0.0,-0.04317461317998317,-5.546584427027643
0.09,0.8555149294952682,0.8476734636312571,0.9124894819088832,0.7293489096141155,0.810042816334665,0.7669656179743258,0.9467103087426557,9166,0,1760.6607760276604,0.0,-0.04905109038588451,-6.301527541865945
0.1,0.8472994719852076,0.837820557946872,0.9133910325760308,0.7227167682859633,0.8036962908071383,0.7679447688483365,0.9519704913802958,9166,0,1760.6607760276604,0.0,-0.05568323171403666,-7.153549809100291
