category,output_class,precision,recall,f1-score,support
related,0,0.7340425531914894,0.3382352941176471,0.46308724832214765,1224.0
related,1,0.8255062473071951,0.9623304871923657,0.8886827458256029,3982.0
related,macro avg,0.7797744002493423,0.6502828906550064,0.6758849970738753,5206.0
related,weighted avg,0.8040019135389231,0.815597387629658,0.78861957084592,5206.0
request,0,0.9237231925713022,0.9653419593345656,0.9440741159191052,4328.0
request,1,0.780380673499268,0.6070615034168565,0.6828955797565663,878.0
request,macro avg,0.8520519330352851,0.786201731375711,0.8134848478378358,5206.0
request,weighted avg,0.8995482537036023,0.9049174029965424,0.9000259494283812,5206.0
offer,0,0.9944295044179793,1.0,0.9972069729365308,5177.0
offer,1,0.0,0.0,0.0,29.0
offer,macro avg,0.49721475220898964,0.5,0.4986034864682654,5206.0
offer,weighted avg,0.9888900392569878,0.9944295044179793,0.9916520358994276,5206.0
aid_related,0,0.8116517709367759,0.8076416337285902,0.8096417368334159,3036.0
aid_related,1,0.7327231121281464,0.7377880184331798,0.7352468427095292,2170.0
aid_related,macro avg,0.7721874415324612,0.7727148260808849,0.7724442897714725,5206.0
aid_related,weighted avg,0.7787521955209623,0.7785247791010372,0.7786319557637206,5206.0
medical_help,0,0.9283611383709519,0.9907834101382489,0.958557097983585,4774.0
medical_help,1,0.6036036036036037,0.1550925925925926,0.24677716390423574,432.0
medical_help,macro avg,0.7659823709872777,0.5729380013654207,0.6026671309439103,5206.0
medical_help,weighted avg,0.9014123763618289,0.9214368036880523,0.8994927623089253,5206.0
medical_products,0,0.9548011639185257,0.9977701196026758,0.9758128469468675,4933.0
medical_products,1,0.7843137254901961,0.14652014652014653,0.24691358024691357,273.0
medical_products,macro avg,0.8695574447043608,0.5721451330614111,0.6113632135968905,5206.0
medical_products,weighted avg,0.9458608891027489,0.9531310026892048,0.9375897390311765,5206.0
search_and_rescue,0,0.9740484429065744,0.999802683504341,0.9867575462512171,5068.0
search_and_rescue,1,0.75,0.021739130434782608,0.04225352112676056,138.0
search_and_rescue,macro avg,0.8620242214532872,0.5107709069695618,0.5145055336889889,5206.0
search_and_rescue,weighted avg,0.9681093946697118,0.9738762965808683,0.9617207511172996,5206.0
security,0,0.9817518248175182,1.0,0.990791896869245,5111.0
security,1,0.0,0.0,0.0,95.0
security,macro avg,0.4908759124087591,0.5,0.4953959484346225,5206.0
security,weighted avg,0.963836645532527,0.9817518248175182,0.9727117527657915,5206.0
military,0,0.972259680215758,0.9988125865822284,0.985357282311597,5053.0
military,1,0.6,0.058823529411764705,0.10714285714285714,153.0
military,macro avg,0.786129840107879,0.5288180579969965,0.5462500697272271,5206.0
military,weighted avg,0.9613192785497936,0.971187091817134,0.9595472924823966,5206.0
child_alone,0,1.0,1.0,1.0,5206.0
child_alone,macro avg,1.0,1.0,1.0,5206.0
child_alone,weighted avg,1.0,1.0,1.0,5206.0
water,0,0.9697516025641025,0.9916018025399427,0.9805549929106745,4882.0
water,1,0.8084112149532711,0.5339506172839507,0.6431226765799256,324.0
water,macro avg,0.8890814087586868,0.7627762099119466,0.8118388347453,5206.0
water,weighted avg,0.9597104412913577,0.9631194775259316,0.959554595198196,5206.0
food,0,0.9497066219614417,0.9818024263431543,0.9654878568385172,4616.0
food,1,0.8064516129032258,0.5932203389830508,0.68359375,590.0
food,macro avg,0.8780791174323337,0.7875113826631026,0.8245408034192586,5206.0
food,weighted avg,0.9334714211653703,0.9377641183250096,0.9335405800358423,5206.0
shelter,0,0.9435483870967742,0.9908956171924624,0.9666425694516162,4723.0
shelter,1,0.8252032520325203,0.42028985507246375,0.5569272976680384,483.0
shelter,macro avg,0.8843758195646473,0.7055927361324631,0.7617849335598272,5206.0
shelter,weighted avg,0.9325686137129796,0.9379562043795621,0.9286301844590176,5206.0
clothing,0,0.9851637764932563,0.99921829196795,0.9921412632191714,5117.0
clothing,1,0.75,0.1348314606741573,0.22857142857142856,89.0
clothing,macro avg,0.8675818882466282,0.5670248763210537,0.6103563458953,5206.0
clothing,weighted avg,0.9811434967952347,0.9844410295812523,0.9790875338139371,5206.0
money,0,0.9796193039800039,0.9998037676609105,0.9896086238710304,5096.0
money,1,0.8,0.03636363636363636,0.06956521739130435,110.0
money,macro avg,0.889809651990002,0.5180837020122734,0.5295869206311674,5206.0
money,weighted avg,0.9758240440034767,0.979446792162889,0.9701685979945859,5206.0
missing_people,0,0.9915482135996927,1.0,0.9957561728395061,5162.0
missing_people,1,0.0,0.0,0.0,44.0
