category,output_class,precision,recall,f1-score,support
related,0,0.7276720351390923,0.40604575163398693,0.5212375458835868,1224.0
related,1,0.8392659739111209,0.9532898041185334,0.8926513815402705,3982.0
related,macro avg,0.7834690045251066,0.6796677778762601,0.7069444637119287,5206.0
related,weighted avg,0.8130287512724419,0.8246254321936227,0.8053270375441542,5206.0
request,0,0.9184428012179209,0.975739371534196,0.946224512659646,4328.0
request,1,0.8273026315789473,0.5728929384965832,0.676985195154778,878.0
request,macro avg,0.8728727163984341,0.7743161550153896,0.811604853907212,5206.0
request,weighted avg,0.9030718698035876,0.907798693814829,0.9008168828537924,5206.0
offer,0,0.9944295044179793,1.0,0.9972069729365308,5177.0
offer,1,0.0,0.0,0.0,29.0
offer,macro avg,0.49721475220898964,0.5,0.4986034864682654,5206.0
offer,weighted avg,0.9888900392569878,0.9944295044179793,0.9916520358994276,5206.0
aid_related,0,0.7881176113973931,0.8563899868247694,0.8208366219415943,3036.0
aid_related,1,0.7713686418458311,0.6778801843317972,0.7216090262447878,2170.0
aid_related,macro avg,0.7797431266216122,0.7671350855782832,0.7712228240931911,5206.0
aid_related,weighted avg,0.7811361930480099,0.7819823280829812,0.7794759068701248,5206.0
medical_help,0,0.928025102961365,0.9912023460410557,0.9585738883824572,4774.0
medical_help,1,0.6074766355140186,0.15046296296296297,0.24118738404452691,432.0
medical_help,macro avg,0.7677508692376918,0.5708326545020094,0.5998806362134921,5206.0
medical_help,weighted avg,0.901425614306495,0.9214368036880523,0.8990443129168433,5206.0
medical_products,0,0.9559137696640124,0.9977701196026758,0.9763935727038286,4933.0
medical_products,1,0.8070175438596491,0.1684981684981685,0.2787878787878788,273.0
medical_products,macro avg,0.8814656567618308,0.5831341440504222,0.6275907257458537,5206.0
medical_products,weighted avg,0.9481057270891775,0.9542835190165194,0.9398114838757352,5206.0
search_and_rescue,0,0.9744181573379496,0.999605367008682,0.9868510762637577,5068.0
search_and_rescue,1,0.7142857142857143,0.036231884057971016,0.06896551724137931,138.0
search_and_rescue,macro avg,0.8443519358118319,0.5179186255333265,0.5279082967525685,5206.0
search_and_rescue,weighted avg,0.9675225989166648,0.9740683826354206,0.9625198801160265,5206.0
security,0,0.9817518248175182,1.0,0.990791896869245,5111.0
security,1,0.0,0.0,0.0,95.0
security,macro avg,0.4908759124087591,0.5,0.4953959484346225,5206.0
security,weighted avg,0.963836645532527,0.9817518248175182,0.9727117527657915,5206.0
military,0,0.9745026076878501,0.9984167821096378,0.9863147605083089,5053.0
military,1,0.7241379310344828,0.13725490196078433,0.23076923076923078,153.0
military,macro avg,0.8493202693611664,0.5678358420352111,0.6085419956387699,5206.0
military,weighted avg,0.967144598558391,0.9731079523626585,0.9641099072524352,5206.0
child_alone,0,1.0,1.0,1.0,5206.0
child_alone,macro avg,1.0,1.0,1.0,5206.0
child_alone,weighted avg,1.0,1.0,1.0,5206.0
water,0,0.9649820931157979,0.9934453092994674,0.9790068631408962,4882.0
water,1,0.8222222222222222,0.4567901234567901,0.5873015873015873,324.0
water,macro avg,0.8936021576690101,0.7251177163781287,0.7831542252212418,5206.0
water,weighted avg,0.9560973066829282,0.9600461006530926,0.9546287399422917,5206.0
food,0,0.9457718678578849,0.9861351819757366,0.9655318697634956,4616.0
food,1,0.8371501272264631,0.5576271186440678,0.669379450661241,590.0
food,macro avg,0.891460997542174,0.7718811503099021,0.8174556602123684,5206.0
food,weighted avg,0.933461682115945,0.9375720322704572,0.9319686874219031,5206.0
shelter,0,0.9430124848973016,0.9915308066906627,0.9666632263391475,4723.0
