category,output_class,precision,recall,f1-score,support
related,0,0.5588578088578089,0.7834967320261438,0.6523809523809524,1224.0
related,1,0.9240687679083095,0.8098945253641386,0.8632226980728052,3982.0
related,macro avg,0.7414632883830592,0.7966956286951412,0.7578018252268788,5206.0
related,weighted avg,0.8382028028914419,0.8036880522474068,0.8136509929773715,5206.0
request,0,0.9534538252042585,0.8897874306839186,0.9205210947771005,4328.0
request,1,0.5912596401028277,0.785876993166287,0.6748166259168704,878.0
request,macro avg,0.7723567326535431,0.8378322119251028,0.7976688603469855,5206.0
request,weighted avg,0.892369212350041,0.8722627737226277,0.8790826538129664,5206.0
offer,0,0.9949396652393928,0.9874444659068959,0.9911778962675715,5177.0
offer,1,0.04411764705882353,0.10344827586206896,0.061855670103092786,29.0
offer,macro avg,0.5195286561491081,0.5454463708844824,0.5265167831853321,5206.0
offer,weighted avg,0.98964311538783,0.982520169035728,0.9860011109124486,5206.0
aid_related,0,0.8205645161290323,0.8043478260869565,0.812375249500998,3036.0
aid_related,1,0.7336322869955157,0.7539170506912443,0.7436363636363637,2170.0
aid_related,macro avg,0.7770984015622739,0.7791324383891004,0.7780058065686808,5206.0
aid_related,weighted avg,0.7843288385993107,0.7833269304648482,0.7837230439062502,5206.0
medical_help,0,0.9682323576128886,0.8937997486384583,0.9295283738154885,4774.0
medical_help,1,0.36545682102628285,0.6759259259259259,0.4744110479285134,432.0
medical_help,macro avg,0.6668445893195858,0.7848628372821922,0.7019697108720009,5206.0
medical_help,weighted avg,0.9182133349841115,0.8757203227045717,0.8917622030926355,5206.0
medical_products,0,0.9800951968844656,0.9183052908980337,0.9481946624803768,4933.0
medical_products,1,0.3099315068493151,0.663003663003663,0.4224037339556593,273.0
medical_products,macro avg,0.6450133518668903,0.7906544769508483,0.685299198218018,5206.0
medical_products,weighted avg,0.944952152823844,0.9049174029965424,0.9206224528208978,5206.0
search_and_rescue,0,0.9829831932773109,0.9232438831886346,0.9521774521774522,5068.0
search_and_rescue,1,0.12780269058295965,0.41304347826086957,0.1952054794520548,138.0
search_and_rescue,macro avg,0.5553929419301352,0.668143680724752,0.5736914658147535,5206.0
search_and_rescue,weighted avg,0.9603141749577142,0.9097195543603535,0.9321117333460835,5206.0
security,0,0.9861224489795918,0.9454118567794952,0.965338128059135,5111.0
security,1,0.08823529411764706,0.28421052631578947,0.13466334164588528,95.0
security,macro avg,0.5371788715486194,0.6148111915476424,0.5500007348525101,5206.0
security,weighted avg,0.9697376468835709,0.9333461390703035,0.9501798290369954,5206.0
military,0,0.9920245398773007,0.9600237482683555,0.9757618425022629,5053.0
military,1,0.36075949367088606,0.7450980392156863,0.4861407249466951,153.0
