category,output_class,precision,recall,f1-score,support
related,0,0.726027397260274,0.3897058823529412,0.507177033492823,1224.0
related,1,0.835788085293471,0.9547965846308388,0.8913374750908452,3982.0
related,macro avg,0.7809077412768726,0.67225123349189,0.699257254291834,5206.0
related,weighted avg,0.8099818843421391,0.8219362274298886,0.8010162341158203,5206.0
request,0,0.9166666666666666,0.9759704251386322,0.945389435989257,4328.0
request,1,0.8260869565217391,0.5626423690205011,0.6693766937669376,878.0
request,macro avg,0.8713768115942029,0.7693063970795666,0.8073830648780973,5206.0
request,weighted avg,0.9013902576180215,0.9062620053784095,0.8988394575660537,5206.0
offer,0,0.9944295044179793,1.0,0.9972069729365308,5177.0
offer,1,0.0,0.0,0.0,29.0
offer,macro avg,0.49721475220898964,0.5,0.4986034864682654,5206.0
offer,weighted avg,0.9888900392569878,0.9944295044179793,0.9916520358994276,5206.0
aid_related,0,0.7861901877649909,0.855072463768116,0.8191858630482802,3036.0
aid_related,1,0.7689075630252101,0.6746543778801843,0.7187039764359352,2170.0
aid_related,macro avg,0.7775488753951005,0.7648634208241502,0.7689449197421077,5206.0
aid_related,weighted avg,0.7789863276640835,0.7798693814829043,0.7773023259855086,5206.0
medical_help,0,0.9277462306637948,0.9924591537494764,0.959012245724117,4774.0
medical_help,1,0.6363636363636364,0.14583333333333334,0.23728813559322035,432.0
medical_help,macro avg,0.7820549335137156,0.5691462435414049,0.5981501906586687,5206.0
medical_help,weighted avg,0.9035669604491062,0.922205147906262,0.8991227306306582,5206.0
medical_products,0,0.9549864183158712,0.9977701196026758,0.9759095865966095,4933.0
medical_products,1,0.7884615384615384,0.15018315018315018,0.2523076923076923,273.0
medical_products,macro avg,0.8717239783887047,0.573976634892913,0.6141086394521509,5206.0
medical_products,weighted avg,0.9462539380622728,0.9533230887437572,0.9379642702038177,5206.0
search_and_rescue,0,0.9740484429065744,0.999802683504341,0.9867575462512171,5068.0
search_and_rescue,1,0.75,0.021739130434782608,0.04225352112676056,138.0
search_and_rescue,macro avg,0.8620242214532872,0.5107709069695618,0.5145055336889889,5206.0
search_and_rescue,weighted avg,0.9681093946697118,0.9738762965808683,0.9617207511172996,5206.0
security,0,0.9817518248175182,1.0,0.990791896869245,5111.0
security,1,0.0,0.0,0.0,95.0
security,macro avg,0.4908759124087591,0.5,0.4953959484346225,5206.0
security,weighted avg,0.963836645532527,0.9817518248175182,0.9727117527657915,5206.0
military,0,0.973364215402432,0.9980209776370473,0.9855384014070745,5053.0
military,1,0.6,0.09803921568627451,0.16853932584269662,153.0
military,macro avg,0.786682107701216,0.5480300966616609,0.5770388636248855,5206.0
military,weighted avg,0.9623913523681309,0.9715712639262389,0.9615274796703573,5206.0
child_alone,0,1.0,1.0,1.0,5206.0
child_alone,macro avg,1.0,1.0,1.0,5206.0
child_alone,weighted avg,1.0,1.0,1.0,5206.0
water,0,0.9649960222752586,0.9938549774682507,0.979212916246216,4882.0
water,1,0.8314606741573034,0.4567901234567901,0.5896414342629482,324.0
water,macro avg,0.898228348216281,0.7253225504625204,0.7844271752545822,5206.0
water,weighted avg,0.9566853321503608,0.9604302727621975,0.9549675915895546,5206.0
food,0,0.9447674418604651,0.9857019064124783,0.9648006785411366,4616.0
food,1,0.8307692307692308,0.5491525423728814,0.6612244897959184,590.0
food,macro avg,0.887768336314848,0.7674272243926799,0.8130125841685275,5206.0
food,weighted avg,0.93184793656968,0.9362274298885901,0.9303961546533767,5206.0
shelter,0,0.9413183279742765,0.9917425365233962,0.9658727703886999,4723.0
shelter,1,0.8304347826086956,0.39544513457556935,0.5357643758765779,483.0
shelter,macro avg,0.885876555291486,0.6935938355494827,0.7508185731326389,5206.0
shelter,weighted avg,0.9310308227088951,0.9364195159431425,0.9259683611398803,5206.0
clothing,0,0.9851723473907182,0.9998045729919874,0.9924345295829292,5117.0
clothing,1,0.9230769230769231,0.1348314606741573,0.23529411764705882,89.0
clothing,macro avg,0.9541246352338206,0.5673180168330724,0.613864323614994,5206.0
clothing,weighted avg,0.9841107852001827,0.9850172877449097,0.9794907153950129,5206.0
money,0,0.9797960361747162,0.9992150706436421,0.989410278830273,5096.0
money,1,0.5555555555555556,0.045454545454545456,0.08403361344537816,110.0
money,macro avg,0.7676757958651359,0.5223348080490938,0.5367219461378255,5206.0
money,weighted avg,0.9708320613633241,0.9790626200537841,0.9702801533611337,5206.0
missing_people,0,0.9917387127761768,1.0,0.9958522234011769,5162.0
missing_people,1,1.0,0.022727272727272728,0.044444444444444446,44.0
missing_people,macro avg,0.9958693563880884,0.5113636363636364,0.5201483339228107,5206.0
missing_people,weighted avg,0.9918085354111842,0.9917402996542451,0.9878111280738436,5206.0
refugees,0,0.9712854114472923,0.9992069785884219,0.9850483729111698,5044.0
refugees,1,0.7647058823529411,0.08024691358024691,0.1452513966480447,162.0
refugees,macro avg,0.8679956469001167,0.5397269460843344,0.5651498847796073,5206.0
refugees,weighted avg,0.9648570818826967,0.9706108336534768,0.9589156202883065,5206.0
death,0,0.9630781189273222,0.9983883964544722,0.9804154302670623,4964.0
death,1,0.8666666666666667,0.21487603305785125,0.3443708609271523,242.0
death,macro avg,0.9148723927969944,0.6066322147561617,0.6623931455971073,5206.0
death,weighted avg,0.9585964494215446,0.961966961198617,0.9508490096408122,5206.0
other_aid,0,0.8797953964194374,0.9887242980322795,0.9310847387049761,4523.0
other_aid,1,0.5853658536585366,0.1054172767203514,0.17866004962779156,683.0
other_aid,macro avg,0.732580625038987,0.5470707873763154,0.5548723941663838,5206.0
other_aid,weighted avg,0.8411677787272178,0.8728390318862851,0.8323705507219339,5206.0
infrastructure_related,0,0.9333846746245668,0.9987639060568603,0.964968152866242,4854.0
infrastructure_related,1,0.5,0.017045454545454544,0.03296703296703297,352.0
infrastructure_related,macro avg,0.7166923373122833,0.5079046803011574,0.4989675929166375,5206.0
infrastructure_related,weighted avg,0.9040816770318185,0.9323857087975413,0.9019515577443594,5206.0
transport,0,0.9571180220204751,0.9987905664180609,0.9775103570724009,4961.0
transport,1,0.7931034482758621,0.09387755102040816,0.1678832116788321,245.0
transport,macro avg,0.8751107351481686,0.5463340587192345,0.5726967843756164,5206.0
transport,weighted avg,0.9493993184923478,0.9562043795620438,0.9394084264881858,5206.0
buildings,0,0.9544658493870403,0.9975594874923734,0.9755369928400954,4917.0
buildings,1,0.8208955223880597,0.1903114186851211,0.3089887640449438,289.0
buildings,macro avg,0.88768068588755,0.5939354530887473,0.6422628784425196,5206.0
buildings,weighted avg,0.9470509772197898,0.9527468305800999,0.9385349878224623,5206.0
electricity,0,0.9782399383785866,0.9986239433850993,0.9883268482490273,5087.0
electricity,1,0.46153846153846156,0.05042016806722689,0.09090909090909091,119.0
electricity,macro avg,0.7198891999585241,0.5245220557261631,0.539617969579059,5206.0
electricity,weighted avg,0.9664290517585377,0.9769496734537073,0.9678134573301929,5206.0
tools,0,0.9946215904725317,1.0,0.9973035439137135,5178.0
tools,1,0.0,0.0,0.0,28.0
tools,macro avg,0.49731079523626587,0.5,0.4986517719568567,5206.0
tools,weighted avg,0.9892721082341086,0.9946215904725317,0.9919396370313501,5206.0
hospitals,0,0.9898174831892411,0.9998059382883757,0.9947866383471713,5153.0
hospitals,1,0.0,0.0,0.0,53.0
hospitals,macro avg,0.49490874159462056,0.49990296914418786,0.49739331917358565,5206.0
hospitals,weighted avg,0.9797405860303803,0.9896273530541683,0.9846591524016468,5206.0
shops,0,0.9950057625816365,1.0,0.9974966300789524,5180.0
shops,1,0.0,0.0,0.0,26.0
shops,macro avg,0.49750288129081827,0.5,0.4987483150394762,5206.0
shops,weighted avg,0.990036467570664,0.9950057625816365,0.9925148950843206,5206.0
aid_centers,0,0.9888590088359586,1.0,0.9943983001738459,5148.0
aid_centers,1,0.0,0.0,0.0,58.0
aid_centers,macro avg,0.4944295044179793,0.5,0.49719915008692295,5206.0
aid_centers,weighted avg,0.9778421393560343,0.9888590088359586,0.9833197174980712,5206.0
other_infrastructure,0,0.9529117816644244,0.9997983464408147,0.9757921668962802,4959.0
other_infrastructure,1,0.6666666666666666,0.008097165991902834,0.016,247.0
other_infrastructure,macro avg,0.8097892241655456,0.5039477562163588,0.4958960834481401,5206.0
other_infrastructure,weighted avg,0.9393308090550418,0.9527468305800999,0.930254582335508,5206.0
weather_related,0,0.8650660264105642,0.964916979110873,0.9122673756171668,3734.0
weather_related,1,0.8741594620557157,0.6182065217391305,0.724233983286908,1472.0
weather_related,macro avg,0.86961274423314,0.7915617504250018,0.8182506794520374,5206.0
weather_related,weighted avg,0.8676372014527586,0.8668843641951595,0.8591008075207125,5206.0
floods,0,0.9445988880063543,0.9974837492136717,0.9703212646608873,4769.0
floods,1,0.9294117647058824,0.36155606407322655,0.5205930807248764,437.0
floods,macro avg,0.9370053263561183,0.6795199066434491,0.7454571726928818,5206.0
floods,weighted avg,0.9433240564884314,0.9441029581252401,0.9325703587100543,5206.0
storm,0,0.941473259334006,0.9891857506361323,0.9647399441629614,4716.0
storm,1,0.796812749003984,0.40816326530612246,0.5398110661268556,490.0
storm,macro avg,0.869143004168995,0.6986745079711274,0.7522755051449085,5206.0
storm,weighted avg,0.9278574986613763,0.9344986553976181,0.9247447174557597,5206.0
fire,0,0.9884681914280223,0.9998055987558321,0.994104571373345,5144.0
fire,1,0.6666666666666666,0.03225806451612903,0.06153846153846154,62.0
fire,macro avg,0.8275674290473445,0.5160318316359805,0.5278215164559033,5206.0
fire,weighted avg,0.9846357491431196,0.9882827506723012,0.9829983288051999,5206.0
earthquake,0,0.9560484699116861,0.9948706988672793,0.9750733137829912,4679.0
earthquake,1,0.9287833827893175,0.5939278937381404,0.7245370370370371,527.0
earthquake,macro avg,0.9424159263505019,0.7943992963027098,0.8498051754100142,5206.0
earthquake,weighted avg,0.9532884428441702,0.9542835190165194,0.9497116891488925,5206.0
cold,0,0.9813353857994997,0.9998039600078416,0.9904835890464168,5101.0
cold,1,0.8888888888888888,0.0761904761904762,0.14035087719298245,105.0
cold,macro avg,0.9351121373441943,0.5379972180991589,0.5654172331196996,5206.0
cold,weighted avg,0.9794708291003806,0.981175566653861,0.9733372320074982,5206.0
other_weather,0,0.9463151818356744,0.9993903678114204,0.9721288792251433,4921.0
other_weather,1,0.6666666666666666,0.021052631578947368,0.04081632653061224,285.0
other_weather,macro avg,0.8064909242511705,0.5102214996951839,0.5064726028778778,5206.0
other_weather,weighted avg,0.9310059565526996,0.9458317326162121,0.9211446153915012,5206.0
direct_report,0,0.8869735980798603,0.9669362511893435,0.9252304540798908,4204.0
direct_report,1,0.7768860353130016,0.48303393213572854,0.5956923076923077,1002.0
direct_report,macro avg,0.831929816696431,0.724985091662536,0.7604613808860993,5206.0
direct_report,weighted avg,0.8657850199215061,0.8737994621590472,0.8618041723510474,5206.0
