category,output_class,precision,recall,f1-score,support
related,0,1.0,0.0008169934640522876,0.0016326530612244899,1224.0
related,1,0.7650336215177713,1.0,0.8668771089583106,3982.0
related,macro avg,0.8825168107588857,0.5004084967320261,0.43425488100976756,5206.0
related,weighted avg,0.8202773493822063,0.7650787552823665,0.663446603000179,5206.0
request,0,0.8331087584215592,1.0,0.9089572613672162,4328.0
request,1,1.0,0.012528473804100227,0.024746906636670417,878.0
request,macro avg,0.9165543792107795,0.5062642369020501,0.46685208400194333,5206.0
request,weighted avg,0.8612552259793523,0.8334613907030349,0.7598338093016344,5206.0
offer,0,0.9944295044179793,1.0,0.9972069729365308,5177.0
offer,1,0.0,0.0,0.0,29.0
offer,macro avg,0.49721475220898964,0.5,0.4986034864682654,5206.0
offer,weighted avg,0.9888900392569878,0.9944295044179793,0.9916520358994276,5206.0
aid_related,0,0.6621833669580811,0.9729907773386034,0.7880485527544351,3036.0
aid_related,1,0.8899328859060402,0.3055299539170507,0.4548885077186964,2170.0
aid_related,macro avg,0.7760581264320607,0.6392603656278271,0.6214685302365657,5206.0
aid_related,weighted avg,0.7571154561084982,0.6947752593161737,0.6491785378240561,5206.0
medical_help,0,0.9170188244333461,1.0,0.9567134268537074,4774.0
medical_help,1,0.0,0.0,0.0,432.0
medical_help,macro avg,0.4585094122166731,0.5,0.4783567134268537,5206.0
medical_help,weighted avg,0.8409235243651161,0.9170188244333461,0.8773242220129849,5206.0
medical_products,0,0.947560507107184,1.0,0.9730742676792583,4933.0
medical_products,1,0.0,0.0,0.0,273.0
medical_products,macro avg,0.473780253553592,0.5,0.48653713383962915,5206.0
medical_products,weighted avg,0.8978709146292236,0.947560507107184,0.9220467465351098,5206.0
search_and_rescue,0,0.9734921244717634,1.0,0.9865680358185711,5068.0
search_and_rescue,1,0.0,0.0,0.0,138.0
search_and_rescue,macro avg,0.4867460622358817,0.5,0.49328401790928555,5206.0
search_and_rescue,weighted avg,0.9476869164085472,0.9734921244717634,0.9604162131249555,5206.0
security,0,0.9817518248175182,1.0,0.990791896869245,5111.0
security,1,0.0,0.0,0.0,95.0
security,macro avg,0.4908759124087591,0.5,0.4953959484346225,5206.0
